HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=455288 r=455288 s16=497440 ep=147645 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=431402 r=431402 s16=467128 ep=148660 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=473441 r=473441 s16=494780 ep=149660 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=484906 r=484906 s16=439496 ep=150661 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=474188 r=474188 s16=500609 ep=151661 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=411102 r=411102 s16=477721 ep=152677 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=497529 r=497529 s16=374416 ep=153679 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=424821 r=424821 s16=502039 ep=154677 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=479401 r=479401 s16=500129 ep=155663 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=475437 r=475437 s16=416658 ep=156668 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=448509 r=448509 s16=419024 ep=157683 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=435391 r=435391 s16=495825 ep=158687 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=447911 r=447911 s16=506707 ep=159688 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=437114 r=437114 s16=475876 ep=160687 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=457705 r=457705 s16=466084 ep=161689 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=364083 r=364083 s16=449870 ep=162690 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=520798 r=520798 s16=449186 ep=163676 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=458122 r=458122 s16=466193 ep=164689 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=499341 r=499341 s16=497618 ep=165688 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=412054 r=412054 s16=479260 ep=166692 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=406769 r=406769 s16=386369 ep=167693 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=416915 r=416915 s16=439919 ep=168695 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=338022 r=338022 s16=454464 ep=169694 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=443044 r=443044 s16=501623 ep=170691 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=471117 r=471117 s16=469297 ep=171708 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=415896 r=415896 s16=506422 ep=172697 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=511014 r=511014 s16=414128 ep=173710 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=488189 r=488189 s16=358465 ep=174699 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=490899 r=490899 s16=409996 ep=175699 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465949 r=465949 s16=400123 ep=176716 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=482890 r=482890 s16=425753 ep=177717 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=501076 r=501076 s16=453692 ep=178721 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=517296 r=517296 s16=451358 ep=179722 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=452328 r=452328 s16=497769 ep=180724 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=380642 r=380642 s16=509103 ep=181728 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=458396 r=458396 s16=409841 ep=182729 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=363035 r=363035 s16=509154 ep=183737 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=437112 r=437112 s16=473400 ep=184744 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=459923 r=459923 s16=474879 ep=185770 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445666 r=445666 s16=490171 ep=186768 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=464882 r=464882 s16=477363 ep=187774 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=404519 r=404519 s16=477219 ep=188788 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=457301 r=457301 s16=457902 ep=189788 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=480592 r=480592 s16=392294 ep=190776 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445992 r=445992 s16=448893 ep=191790 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=435341 r=435341 s16=475594 ep=192790 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=451324 r=451324 s16=463758 ep=193789 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=403413 r=403413 s16=458778 ep=194791 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=433221 r=433221 s16=467658 ep=195792 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=400517 r=400517 s16=391780 ep=196795 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=402610 r=402610 s16=398229 ep=197798 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=436403 r=436403 s16=298589 ep=198815 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=419165 r=419165 s16=466025 ep=199819 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=470537 r=470537 s16=457551 ep=200820 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=485124 r=485124 s16=417843 ep=201823 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=462209 r=462209 s16=497186 ep=202850 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=324986 r=324986 s16=450724 ep=203854 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=427821 r=427821 s16=501369 ep=204858 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=467439 r=467439 s16=450075 ep=205859 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=401871 r=401871 s16=494527 ep=206846 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445674 r=445674 s16=388239 ep=207848 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=375948 r=375948 s16=410996 ep=208851 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=450587 r=450587 s16=504496 ep=209852 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=486541 r=486541 s16=444867 ep=210852 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=450729 r=450729 s16=503216 ep=211858 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=481314 r=481314 s16=496126 ep=212862 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=415882 r=415882 s16=506938 ep=213863 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=447377 r=447377 s16=427258 ep=214864 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=354359 r=354359 s16=387766 ep=215864 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=455059 r=455059 s16=464564 ep=216865 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=491201 r=491201 s16=481330 ep=217867 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=489703 r=489703 s16=474647 ep=218869 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=477605 r=477605 s16=449279 ep=219868 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=496128 r=496128 s16=504161 ep=220870 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=429421 r=429421 s16=459438 ep=221870 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=467043 r=467043 s16=490079 ep=222874 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=460446 r=460446 s16=457417 ep=223860 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=461028 r=461028 s16=443626 ep=224873 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465810 r=465810 s16=474311 ep=225872 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=474073 r=474073 s16=403123 ep=226875 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=449391 r=449391 s16=493467 ep=227876 evb32=0
