config,arm,run,cls,vf,flow,gbps,tcp_retrans
band25-47,sr,2,tcp,3,1,5.016,2742
band25-47,sr,2,tcp,3,2,4.445,10191
band25-47,sr,2,tcp,3,3,3.596,9242
band25-47,sr,3,rdma,0,0,0.016,
band25-47,sr,3,rdma,0,1,0.016,
band25-47,sr,3,rdma,0,2,0.016,
band25-47,sr,3,rdma,0,3,0.016,
band25-47,sr,3,tcp,0,0,6.865,7243
band25-47,sr,3,tcp,0,1,5.641,7126
band25-47,sr,3,tcp,0,2,6.833,8459
band25-47,sr,3,tcp,0,3,6.535,5241
band25-47,sr,3,rdma,1,0,0.016,
band25-47,sr,3,rdma,1,1,0.016,
band25-47,sr,3,rdma,1,2,0.016,
band25-47,sr,3,rdma,1,3,0.016,
band25-47,sr,3,tcp,1,0,6.532,9769
band25-47,sr,3,tcp,1,1,4.303,9510
band25-47,sr,3,tcp,1,2,5.486,7634
band25-47,sr,3,tcp,1,3,4.367,10302
band25-47,sr,3,rdma,2,0,0.016,
band25-47,sr,3,rdma,2,1,0.016,
band25-47,sr,3,rdma,2,2,0.016,
band25-47,sr,3,rdma,2,3,0.016,
band25-47,sr,3,tcp,2,0,5.226,6366
band25-47,sr,3,tcp,2,1,6.389,3915
band25-47,sr,3,tcp,2,2,7.829,6212
band25-47,sr,3,tcp,2,3,6.41,4499
band25-47,sr,3,rdma,3,0,0.016,
band25-47,sr,3,rdma,3,1,0.016,
band25-47,sr,3,rdma,3,2,0.016,
band25-47,sr,3,rdma,3,3,0.016,
band25-47,sr,3,tcp,3,0,3.97,14333
band25-47,sr,3,tcp,3,1,4.049,13424
band25-47,sr,3,tcp,3,2,6.664,6733
band25-47,sr,3,tcp,3,3,6.77,6544
band47-96,gbn,1,rdma,0,0,0.028,
band47-96,gbn,1,rdma,0,1,0.029,
band47-96,gbn,1,rdma,0,2,0.028,
band47-96,gbn,1,rdma,0,3,0.031,
band47-96,gbn,1,tcp,0,0,2.67,7787
band47-96,gbn,1,tcp,0,1,2.793,7632
band47-96,gbn,1,tcp,0,2,2.653,7204
band47-96,gbn,1,tcp,0,3,6.384,3280
band47-96,gbn,1,rdma,1,0,0.077,
band47-96,gbn,1,rdma,1,1,0.077,
band47-96,gbn,1,rdma,1,2,0.077,
band47-96,gbn,1,rdma,1,3,0.077,
band47-96,gbn,1,tcp,1,0,5.772,7297
band47-96,gbn,1,tcp,1,1,6.755,6827
band47-96,gbn,1,tcp,1,2,5.741,7361
band47-96,gbn,1,tcp,1,3,6.396,5597
band47-96,gbn,1,rdma,2,0,0.078,
band47-96,gbn,1,rdma,2,1,0.078,
band47-96,gbn,1,rdma,2,2,0.078,
band47-96,gbn,1,rdma,2,3,0.078,
band47-96,gbn,1,tcp,2,0,5.283,8723
band47-96,gbn,1,tcp,2,1,4.786,4483
band47-96,gbn,1,tcp,2,2,5.679,6302
band47-96,gbn,1,tcp,2,3,4.8,3773
band47-96,gbn,1,rdma,3,0,0.077,
band47-96,gbn,1,rdma,3,1,0.077,
band47-96,gbn,1,rdma,3,2,0.077,
band47-96,gbn,1,rdma,3,3,0.077,
band47-96,gbn,1,tcp,3,0,6.684,7201
band47-96,gbn,1,tcp,3,1,5.751,7702
band47-96,gbn,1,tcp,3,2,6.373,6031
band47-96,gbn,1,tcp,3,3,5.396,6073
band47-96,gbn,2,rdma,0,0,0.064,
band47-96,gbn,2,rdma,0,1,0.064,
band47-96,gbn,2,rdma,0,2,0.019,
band47-96,gbn,2,rdma,0,3,0.064,
band47-96,gbn,2,tcp,0,0,6.158,5627
band47-96,gbn,2,tcp,0,1,6.468,4559
band47-96,gbn,2,tcp,0,2,6.481,7911
band47-96,gbn,2,tcp,0,3,5.457,3574
band47-96,gbn,2,rdma,1,0,0.061,
band47-96,gbn,2,rdma,1,1,0.061,
band47-96,gbn,2,rdma,1,2,0.061,
band47-96,gbn,2,rdma,1,3,0.061,
band47-96,gbn,2,tcp,1,0,7.048,10175
band47-96,gbn,2,tcp,1,1,5.529,7033
band47-96,gbn,2,tcp,1,2,5.889,5934
band47-96,gbn,2,tcp,1,3,6.181,8400
band47-96,gbn,2,rdma,2,0,0.061,
band47-96,gbn,2,rdma,2,1,0.061,
band47-96,gbn,2,rdma,2,2,0.061,
band47-96,gbn,2,rdma,2,3,0.061,
band47-96,gbn,2,tcp,2,0,6.504,5997
band47-96,gbn,2,tcp,2,1,5.949,7291
band47-96,gbn,2,tcp,2,2,6.008,8468
band47-96,gbn,2,tcp,2,3,6.092,4553
band47-96,gbn,2,rdma,3,0,0.061,
band47-96,gbn,2,rdma,3,1,0.061,
band47-96,gbn,2,rdma,3,2,0.061,
band47-96,gbn,2,rdma,3,3,0.061,
band47-96,gbn,2,tcp,3,0,3.315,5944
band47-96,gbn,2,tcp,3,1,6.626,8435
band47-96,gbn,2,tcp,3,2,3.357,6063
band47-96,gbn,2,tcp,3,3,3.647,6467
band47-96,gbn,3,rdma,0,0,0.057,
band47-96,gbn,3,rdma,0,1,0.057,
band47-96,gbn,3,rdma,0,2,0.057,
band47-96,gbn,3,rdma,0,3,0.057,
band47-96,gbn,3,tcp,0,0,6.646,5677
band47-96,gbn,3,tcp,0,1,6.235,8241
band47-96,gbn,3,tcp,0,2,4.91,4190
band47-96,gbn,3,tcp,0,3,6.154,6682
band47-96,gbn,3,rdma,1,0,0.057,
band47-96,gbn,3,rdma,1,1,0.057,
band47-96,gbn,3,rdma,1,2,0.057,
band47-96,gbn,3,rdma,1,3,0.057,
band47-96,gbn,3,tcp,1,0,5.546,6830
band47-96,gbn,3,tcp,1,1,5.683,7820
band47-96,gbn,3,tcp,1,2,6.16,6631
band47-96,gbn,3,tcp,1,3,6.155,9116
band47-96,gbn,3,rdma,2,0,0.056,
band47-96,gbn,3,rdma,2,1,0.056,
band47-96,gbn,3,rdma,2,2,0.056,
band47-96,gbn,3,rdma,2,3,0.056,
band47-96,gbn,3,tcp,2,0,7.496,10027
band47-96,gbn,3,tcp,2,1,6.048,6900
band47-96,gbn,3,tcp,2,2,6.86,9123
band47-96,gbn,3,tcp,2,3,5.811,6032
band47-96,gbn,3,rdma,3,0,0.057,
band47-96,gbn,3,rdma,3,1,0.057,
band47-96,gbn,3,rdma,3,2,0.057,
band47-96,gbn,3,rdma,3,3,0.057,
band47-96,gbn,3,tcp,3,0,4.801,4034
band47-96,gbn,3,tcp,3,1,4.315,5132
band47-96,gbn,3,tcp,3,2,5.065,4991
band47-96,gbn,3,tcp,3,3,4.776,4438
band47-96,sr,1,rdma,0,0,0.046,
band47-96,sr,1,rdma,0,1,0.046,
band47-96,sr,1,rdma,0,2,0.046,
band47-96,sr,1,rdma,0,3,0.046,
band47-96,sr,1,tcp,0,0,4.937,3284
band47-96,sr,1,tcp,0,1,5.84,5891
band47-96,sr,1,tcp,0,2,6.408,3577
