arm,size,metric,x,value
cc,4096,fct_cdf,1076.7200,80.0100
cc,4096,fct_cdf,1076.8700,80.3353
cc,4096,fct_cdf,1077.0000,80.6605
cc,4096,fct_cdf,1077.2000,81.0108
cc,4096,fct_cdf,1077.3200,81.3360
cc,4096,fct_cdf,1077.4600,81.6612
cc,4096,fct_cdf,1077.6400,82.0115
cc,4096,fct_cdf,1077.7500,82.3368
cc,4096,fct_cdf,1077.9100,82.6620
cc,4096,fct_cdf,1078.0700,83.0123
cc,4096,fct_cdf,1078.1900,83.3375
cc,4096,fct_cdf,1078.3900,83.6627
cc,4096,fct_cdf,1078.5100,84.0130
cc,4096,fct_cdf,1078.6800,84.3383
cc,4096,fct_cdf,1078.8600,84.6635
cc,4096,fct_cdf,1079.1000,85.0138
cc,4096,fct_cdf,1079.2700,85.3390
cc,4096,fct_cdf,1079.4300,85.6642
cc,4096,fct_cdf,1079.5400,86.0145
cc,4096,fct_cdf,1079.6700,86.3398
cc,4096,fct_cdf,1079.8000,86.6650
cc,4096,fct_cdf,1079.9700,87.0153
cc,4096,fct_cdf,1080.2400,87.3405
cc,4096,fct_cdf,1080.3400,87.6657
cc,4096,fct_cdf,1080.5000,87.9910
cc,4096,fct_cdf,1080.7300,88.3413
cc,4096,fct_cdf,1080.8900,88.6665
cc,4096,fct_cdf,1081.0900,88.9917
cc,4096,fct_cdf,1081.3400,89.3420
cc,4096,fct_cdf,1081.4800,89.6673
cc,4096,fct_cdf,1081.6500,89.9925
cc,4096,fct_cdf,1081.8000,90.3428
cc,4096,fct_cdf,1081.8900,90.6680
cc,4096,fct_cdf,1082.0600,90.9932
cc,4096,fct_cdf,1082.1900,91.3435
cc,4096,fct_cdf,1082.3100,91.6688
cc,4096,fct_cdf,1082.4700,91.9940
cc,4096,fct_cdf,1082.7800,92.3443
cc,4096,fct_cdf,1083.0500,92.6695
cc,4096,fct_cdf,1083.2400,92.9947
cc,4096,fct_cdf,1083.4900,93.3450
cc,4096,fct_cdf,1083.7200,93.6703
cc,4096,fct_cdf,1083.8500,93.9955
cc,4096,fct_cdf,1084.0600,94.3458
cc,4096,fct_cdf,1084.2200,94.6710
cc,4096,fct_cdf,1084.4500,94.9962
cc,4096,fct_cdf,1084.8900,95.3465
cc,4096,fct_cdf,1085.2100,95.6718
cc,4096,fct_cdf,1085.3600,95.9970
cc,4096,fct_cdf,1085.6600,96.3222
cc,4096,fct_cdf,1086.0200,96.6725
cc,4096,fct_cdf,1086.1600,96.9977
cc,4096,fct_cdf,1086.6100,97.3230
cc,4096,fct_cdf,1086.8800,97.6733
cc,4096,fct_cdf,1087.1300,97.9985
cc,4096,fct_cdf,1087.4900,98.3237
cc,4096,fct_cdf,1088.1500,98.6740
cc,4096,fct_cdf,1088.6100,98.9992
cc,4096,fct_cdf,1089.0800,99.3245
cc,4096,fct_cdf,1090.7700,99.6748
cc,4096,fct_cdf,1095.0400,100.0000
cc,4096,fct_p50,,1062.520
cc,4096,fct_p99,,1088.640
cc,4096,fct_p999,,1093.360
cc,4096,samples,,3997
cc,16384,fct_cdf,1014.1300,0.0250
cc,16384,fct_cdf,1031.4700,0.3503
cc,16384,fct_cdf,1035.9000,0.7005
cc,16384,fct_cdf,1043.7900,1.0258
cc,16384,fct_cdf,1047.3900,1.3510
cc,16384,fct_cdf,1050.0700,1.7013
cc,16384,fct_cdf,1056.2000,2.0265
cc,16384,fct_cdf,1059.9800,2.3518
cc,16384,fct_cdf,1062.3800,2.7020
cc,16384,fct_cdf,1064.9500,3.0273
cc,16384,fct_cdf,1066.8400,3.3525
cc,16384,fct_cdf,1069.4600,3.7028
cc,16384,fct_cdf,1071.5800,4.0280
cc,16384,fct_cdf,1074.2800,4.3533
cc,16384,fct_cdf,1075.8500,4.6785
cc,16384,fct_cdf,1077.8200,5.0288
cc,16384,fct_cdf,1079.2500,5.3540
cc,16384,fct_cdf,1081.1500,5.6793
cc,16384,fct_cdf,1083.3600,6.0295
cc,16384,fct_cdf,1085.3500,6.3548
cc,16384,fct_cdf,1088.0600,6.6800
cc,16384,fct_cdf,1094.7300,7.0303
cc,16384,fct_cdf,1111.9400,7.3555
cc,16384,fct_cdf,1138.5800,7.6808
cc,16384,fct_cdf,1162.0900,8.0310
cc,16384,fct_cdf,1169.7300,8.3563
cc,16384,fct_cdf,1176.1800,8.6815
cc,16384,fct_cdf,1180.7400,9.0318
cc,16384,fct_cdf,1184.9500,9.3570
cc,16384,fct_cdf,1187.9900,9.6823
cc,16384,fct_cdf,1190.5500,10.0325
cc,16384,fct_cdf,1191.9500,10.3578
cc,16384,fct_cdf,1194.5800,10.6830
cc,16384,fct_cdf,1195.9900,11.0333
cc,16384,fct_cdf,1198.1900,11.3585
cc,16384,fct_cdf,1199.6900,11.6838
cc,16384,fct_cdf,1201.5800,12.0340
cc,16384,fct_cdf,1202.8600,12.3593
cc,16384,fct_cdf,1204.1800,12.6845
cc,16384,fct_cdf,1205.4600,13.0098
cc,16384,fct_cdf,1206.6200,13.3600
cc,16384,fct_cdf,1207.6600,13.6853
cc,16384,fct_cdf,1208.4800,14.0105
cc,16384,fct_cdf,1209.4300,14.3608
cc,16384,fct_cdf,1210.0400,14.6860
cc,16384,fct_cdf,1210.6800,15.0113
cc,16384,fct_cdf,1211.4500,15.3615
cc,16384,fct_cdf,1212.1100,15.6868
cc,16384,fct_cdf,1212.7500,16.0120
cc,16384,fct_cdf,1213.4700,16.3623
cc,16384,fct_cdf,1214.1200,16.6875
cc,16384,fct_cdf,1214.6200,17.0128
cc,16384,fct_cdf,1215.2700,17.3630
cc,16384,fct_cdf,1215.6500,17.6883
cc,16384,fct_cdf,1216.1300,18.0135
cc,16384,fct_cdf,1216.5600,18.3638
cc,16384,fct_cdf,1217.1000,18.6890
cc,16384,fct_cdf,1217.4800,19.0143
cc,16384,fct_cdf,1217.8400,19.3645
cc,16384,fct_cdf,1218.2300,19.6898
cc,16384,fct_cdf,1218.4900,20.0150
cc,16384,fct_cdf,1219.0300,20.3653
cc,16384,fct_cdf,1219.4400,20.6905
cc,16384,fct_cdf,1220.0900,21.0158
cc,16384,fct_cdf,1220.4500,21.3410
cc,16384,fct_cdf,1220.8800,21.6913
cc,16384,fct_cdf,1221.2000,22.0165
cc,16384,fct_cdf,1221.5800,22.3418
cc,16384,fct_cdf,1221.9600,22.6920
cc,16384,fct_cdf,1222.2900,23.0173
cc,16384,fct_cdf,1222.5200,23.3425
cc,16384,fct_cdf,1222.9600,23.6928
cc,16384,fct_cdf,1223.3300,24.0180
cc,16384,fct_cdf,1223.7400,24.3433
cc,16384,fct_cdf,1224.0100,24.6935
cc,16384,fct_cdf,1224.3100,25.0188
cc,16384,fct_cdf,1224.6600,25.3440
cc,16384,fct_cdf,1224.8700,25.6943
cc,16384,fct_cdf,1225.2300,26.0195
cc,16384,fct_cdf,1225.4000,26.3448
cc,16384,fct_cdf,1225.6800,26.6950
cc,16384,fct_cdf,1225.9600,27.0203
cc,16384,fct_cdf,1226.1900,27.3455
cc,16384,fct_cdf,1226.5200,27.6958
cc,16384,fct_cdf,1226.7400,28.0210
cc,16384,fct_cdf,1226.9000,28.3463
cc,16384,fct_cdf,1227.2000,28.6965
cc,16384,fct_cdf,1227.4400,29.0218
cc,16384,fct_cdf,1227.6100,29.3470
cc,16384,fct_cdf,1227.8200,29.6723
cc,16384,fct_cdf,1228.0100,30.0225
cc,16384,fct_cdf,1228.2000,30.3478
cc,16384,fct_cdf,1228.4300,30.6730
cc,16384,fct_cdf,1228.7400,31.0233
cc,16384,fct_cdf,1228.9000,31.3485
cc,16384,fct_cdf,1229.0100,31.6738
cc,16384,fct_cdf,1229.1600,32.0240
cc,16384,fct_cdf,1229.4200,32.3493
cc,16384,fct_cdf,1229.6300,32.6745
cc,16384,fct_cdf,1229.7800,33.0248
cc,16384,fct_cdf,1229.9600,33.3500
cc,16384,fct_cdf,1230.1700,33.6753
cc,16384,fct_cdf,1230.2800,34.0255
cc,16384,fct_cdf,1230.4900,34.3508
cc,16384,fct_cdf,1230.6900,34.6760
cc,16384,fct_cdf,1230.8800,35.0263
cc,16384,fct_cdf,1231.0800,35.3515
cc,16384,fct_cdf,1231.2100,35.6768
cc,16384,fct_cdf,1231.4600,36.0270
cc,16384,fct_cdf,1231.6300,36.3523
cc,16384,fct_cdf,1231.7700,36.6775
cc,16384,fct_cdf,1232.0100,37.0278
cc,16384,fct_cdf,1232.1400,37.3530
cc,16384,fct_cdf,1232.2500,37.6783
cc,16384,fct_cdf,1232.3500,38.0035
cc,16384,fct_cdf,1232.4700,38.3538
cc,16384,fct_cdf,1232.6200,38.6790
cc,16384,fct_cdf,1232.7300,39.0043
cc,16384,fct_cdf,1232.9200,39.3545
cc,16384,fct_cdf,1233.1100,39.6798
cc,16384,fct_cdf,1233.2400,40.0050
cc,16384,fct_cdf,1233.4100,40.3553
cc,16384,fct_cdf,1233.5100,40.6805
cc,16384,fct_cdf,1233.6800,41.0058
cc,16384,fct_cdf,1233.8400,41.3560
cc,16384,fct_cdf,1233.9400,41.6813
cc,16384,fct_cdf,1234.0700,42.0065
cc,16384,fct_cdf,1234.1700,42.3568
cc,16384,fct_cdf,1234.3800,42.6820
cc,16384,fct_cdf,1234.4800,43.0073
cc,16384,fct_cdf,1234.6000,43.3575
cc,16384,fct_cdf,1234.7100,43.6828
cc,16384,fct_cdf,1234.8800,44.0080
cc,16384,fct_cdf,1234.9800,44.3583
cc,16384,fct_cdf,1235.0700,44.6835
cc,16384,fct_cdf,1235.2000,45.0088
cc,16384,fct_cdf,1235.3000,45.3590
cc,16384,fct_cdf,1235.4900,45.6843
cc,16384,fct_cdf,1235.5800,46.0095
cc,16384,fct_cdf,1235.7100,46.3348
cc,16384,fct_cdf,1235.8400,46.6850
cc,16384,fct_cdf,1236.0100,47.0103
cc,16384,fct_cdf,1236.1100,47.3355
cc,16384,fct_cdf,1236.2300,47.6858
cc,16384,fct_cdf,1236.3700,48.0110
cc,16384,fct_cdf,1236.4800,48.3363
cc,16384,fct_cdf,1236.6100,48.6865
cc,16384,fct_cdf,1236.7100,49.0118
cc,16384,fct_cdf,1236.8400,49.3370
cc,16384,fct_cdf,1236.9400,49.6873
cc,16384,fct_cdf,1237.0600,50.0125
cc,16384,fct_cdf,1237.1500,50.3378
cc,16384,fct_cdf,1237.3000,50.6880
cc,16384,fct_cdf,1237.4100,51.0133
cc,16384,fct_cdf,1237.5300,51.3385
cc,16384,fct_cdf,1237.6800,51.6888
cc,16384,fct_cdf,1237.7800,52.0140
cc,16384,fct_cdf,1237.8500,52.3393
cc,16384,fct_cdf,1237.9200,52.6895
cc,16384,fct_cdf,1238.0300,53.0148
cc,16384,fct_cdf,1238.1100,53.3400
cc,16384,fct_cdf,1238.2000,53.6903
cc,16384,fct_cdf,1238.3000,54.0155
cc,16384,fct_cdf,1238.3800,54.3408
cc,16384,fct_cdf,1238.5200,54.6660
cc,16384,fct_cdf,1238.6900,55.0163
cc,16384,fct_cdf,1238.7600,55.3415
cc,16384,fct_cdf,1238.8800,55.6668
cc,16384,fct_cdf,1238.9600,56.0170
cc,16384,fct_cdf,1239.0400,56.3423
cc,16384,fct_cdf,1239.1200,56.6675
cc,16384,fct_cdf,1239.2300,57.0178
cc,16384,fct_cdf,1239.3600,57.3430
cc,16384,fct_cdf,1239.4100,57.6683
cc,16384,fct_cdf,1239.5000,58.0185
cc,16384,fct_cdf,1239.5900,58.3438
cc,16384,fct_cdf,1239.7600,58.6690
cc,16384,fct_cdf,1239.9200,59.0193
cc,16384,fct_cdf,1240.0100,59.3445
cc,16384,fct_cdf,1240.1300,59.6698
cc,16384,fct_cdf,1240.2500,60.0200
cc,16384,fct_cdf,1240.3600,60.3453
cc,16384,fct_cdf,1240.4400,60.6705
cc,16384,fct_cdf,1240.5800,61.0208
cc,16384,fct_cdf,1240.6800,61.3460
cc,16384,fct_cdf,1240.8400,61.6713
cc,16384,fct_cdf,1240.9700,62.0215
cc,16384,fct_cdf,1241.0300,62.3468
cc,16384,fct_cdf,1241.1400,62.6720
cc,16384,fct_cdf,1241.2300,62.9972
cc,16384,fct_cdf,1241.3300,63.3475
cc,16384,fct_cdf,1241.4200,63.6728
cc,16384,fct_cdf,1241.4700,63.9980
cc,16384,fct_cdf,1241.6400,64.3483
cc,16384,fct_cdf,1241.7200,64.6735
cc,16384,fct_cdf,1241.8600,64.9987
