ts_ns,gbps
1783088362108556886,0.967
1783088362113557872,0.966
1783088362118557878,0.977
1783088362123558336,0.966
1783088362128554347,0.969
1783088362133559193,0.976
1783088362138561035,0.966
1783088362143558829,0.967
1783088362148563671,0.976
1783088362153561381,0.967
1783088362158556944,0.967
1783088362163556606,0.966
1783088362168554598,0.977
1783088362173556534,0.966
1783088362178562966,0.967
1783088362183555799,0.968
1783088362188555208,0.977
1783088362193556374,0.966
1783088362198554734,0.967
1783088362203556105,0.976
1783088362208557716,0.966
1783088362213563911,0.965
1783088362218568057,0.976
1783088362223557972,0.968
1783088362228557228,0.968
1783088362233558960,0.966
1783088362238558524,0.977
1783088362243563008,0.965
1783088362248567360,0.965
1783088362253559599,0.968
1783088362258561137,0.976
1783088362264292492,0.964
1783088362268570893,0.971
1783088362273558706,0.969
1783088362278558326,0.977
1783088362283565021,0.965
1783088362288566879,0.966
1783088362293558398,0.968
1783088362298560051,0.976
1783088362303564760,0.965
1783088362308563133,0.967
1783088362313563782,0.977
1783088362318560484,0.967
1783088362323561707,0.966
1783088362328566529,0.977
1783088362333561318,0.967
1783088362338558393,0.967
1783088362343559955,0.966
1783088362348563811,0.976
1783088362353563463,0.966
1783088362358679409,0.965
1783088362363638762,0.964
1783088362368567425,0.980
1783088362373562128,0.969
1783088362378561874,0.966
1783088362383562865,0.976
1783088362388567038,0.965
1783088362393563256,0.967
1783088362398560799,0.967
1783088362403566938,0.975
1783088362408568069,0.966
1783088362413567701,0.966
1783088362418566235,0.977
1783088362423564997,0.966
1783088362428561083,0.967
1783088362433563014,0.976
1783088362438563248,0.966
1783088362443561790,0.967
1783088362448567356,0.976
1783088362453566618,0.966
1783088362458566290,0.966
1783088362463562715,0.967
1783088362468567237,0.976
1783088362473563497,0.967
1783088362478561888,0.967
1783088362483562268,0.977
1783088362488568909,0.965
1783088362493566564,0.967
1783088362498565193,0.977
1783088362503566651,0.966
1783088362508567504,0.966
1783088362513565748,0.967
1783088362518566560,0.976
1783088362523567968,0.966
1783088362528564550,0.967
1783088362533578276,0.974
1783088362538563862,0.969
1783088362543583460,0.964
1783088362548564982,0.970
1783088362553568736,0.976
1783088362558565859,0.967
1783088362563569303,0.966
1783088362568573401,0.976
1783088362573566340,0.968
1783088362578564787,0.967
1783088362583566890,0.968
1783088362588566184,0.968
1783088362593567750,0.976
1783088362598568308,0.966
1783088362603567434,0.966
1783088362608566101,0.979
1783088362613568254,0.966
1783088362618567292,0.966
1783088362623567239,0.966
1783088362628564519,0.977
1783088362633571675,0.965
1783088362638566529,0.967
1783088362643578123,0.974
1783088362648578219,0.966
1783088362653579938,0.966
1783088362658572662,0.969
1783088362663577805,0.977
1783088362668572550,0.967
1783088362673571328,0.966
1783088362678575270,0.976
1783088362683574388,0.968
1783088362688570766,0.967
1783088362693580882,0.964
1783088362698578183,0.977
1783088362703580061,0.968
1783088362708577951,0.967
1783088362713580081,0.966
1783088362718577486,0.977
1783088362723580633,0.966
1783088362728573312,0.968
1783088362733576508,0.966
1783088362738575912,0.978
1783088362743572256,0.967
1783088362748576164,0.965
1783088362753581351,0.976
1783088362758580271,0.968
1783088362763581902,0.966
1783088362768575876,0.967
1783088362773583699,0.975
1783088362778577029,0.968
1783088362783575681,0.967
1783088362788578022,0.968
1783088362793578651,0.976
1783088362798575978,0.967
1783088362803582544,0.965
1783088362808569482,0.969
1783088362813571980,0.976
1783088362818570367,0.967
1783088362823571816,0.966
1783088362828570852,0.977
1783088362833573965,0.966
1783088362838572387,0.967
1783088362843570917,0.967
1783088362848569632,0.979
1783088362853575309,0.965
1783088362858572901,0.967
1783088362863571418,0.977
1783088362868577236,0.965
1783088362873572238,0.967
1783088362878572980,0.968
1783088362883574364,0.976
1783088362888572632,0.967
1783088362893576055,0.966
1783088362898576984,0.976
1783088362903577410,0.966
1783088362908575004,0.967
1783088362913577255,0.966
1783088362918573506,0.977
1783088362923575075,0.966
1783088362928573921,0.966
1783088362933579524,0.976
1783088362938573344,0.967
1783088362943574756,0.966
1783088362948573686,0.966
1783088362953577732,0.976
1783088362958575137,0.967
1783088362963578929,0.966
1783088362968572842,0.978
1783088362973576560,0.966
1783088362978585709,0.966
1783088362983574935,0.968
1783088362988575159,0.977
1783088362993574373,0.968
1783088362998577301,0.966
1783088363003576880,0.966
1783088363008579404,0.976
1783088363013577390,0.967
1783088363018575189,0.967
1783088363023574382,0.979
1783088363028577100,0.966
1783088363033574678,0.967
1783088363038573816,0.966
1783088363043574725,0.976
1783088363048577032,0.966
1783088363053579998,0.966
1783088363058586339,0.975
1783088363063578812,0.968
1783088363068577285,0.967
1783088363073578267,0.976
1783088363078578334,0.966
1783088363083576703,0.967
1783088363088575114,0.967
1783088363093588720,0.974
1783088363098582994,0.967
1783088363103580924,0.967
1783088363108579434,0.977
1783088363113579341,0.966
1783088363118576157,0.967
1783088363123579405,0.976
1783088363128576419,0.967
1783088363133584681,0.965
1783088363138587437,0.976
1783088363143583381,0.967
1783088363148582224,0.966
1783088363153592449,0.975
1783088363158581622,0.968
1783088363163579378,0.967
1783088363168579273,0.966
1783088363173580974,0.976
1783088363178579189,0.967
1783088363183583687,0.965
1783088363188578271,0.967
1783088363193590723,0.974
1783088363198581001,0.968
1783088363203582839,0.966
1783088363208581424,0.977
1783088363213582775,0.966
1783088363218579962,0.967
1783088363223583796,0.976
1783088363228580324,0.967
1783088363233593624,0.964
1783088363238811774,0.976
1783088363243584810,0.972
1783088363248580190,0.967
1783088363253586340,0.965
1783088363258586194,0.966
1783088363263585341,0.977
1783088363268581503,0.967
1783088363273583267,0.966
1783088363278580859,0.977
1783088363283581569,0.966
1783088363288581599,0.966
1783088363293588521,0.975
1783088363298587796,0.966
1783088363303598257,0.964
1783088363308590876,0.978
1783088363313593357,0.966
1783088363318588532,0.967
1783088363323594740,0.965
1783088363328593737,0.977
1783088363333592890,0.966
1783088363338589844,0.967
1783088363343591847,0.976
1783088363348588341,0.967
1783088363353595759,0.965
1783088363358593333,0.977
1783088363363593680,0.966
1783088363368590513,0.967
1783088363373592904,0.968
1783088363378601538,0.975
1783088363383593736,0.968
1783088363388590516,0.967
1783088363393584849,0.967
1783088363398582966,0.977
1783088363403585597,0.967
1783088363408585033,0.966
1783088363413585941,0.966
1783088363418588783,0.976
1783088363423585182,0.967
1783088363428584887,0.966
1783088363433586149,0.976
1783088363438586560,0.966
1783088363443586244,0.966
1783088363448584714,0.968
1783088363453596818,0.974
1783088363458601530,0.965
1783088363463586342,0.969
1783088363468584876,0.977
1783088363473586654,0.966
1783088363478586505,0.966
1783088363483587599,0.966
1783088363488584201,0.977
1783088363493586103,0.966
1783088363498585374,0.966
1783088363503589932,0.976
1783088363508593486,0.966
1783088363513593245,0.966
1783088363518590068,0.977
1783088363523588796,0.966
1783088363528587238,0.967
1783088363533597317,0.975
1783088363538627574,0.971
1783088363543589573,0.963
1783088363548589919,0.966
1783088363553592329,0.976
1783088363558589170,0.967
1783088363563590253,0.966
1783088363568590163,0.977
1783088363573596921,0.965
1783088363578587220,0.968
1783088363583588472,0.966
1783088363588589280,0.976
1783088363593594774,0.965
1783088363598588873,0.967
